iso3,country,region,year,hdi,gnipc,log_gnipc,hdi_pred,residual
AFG,Afghanistan,SA,2022,0.495,1960.945925,7.581182250599417,0.5016284749801179,-0.006628474980117871
ALB,Albania,ECA,2022,0.806,16945.17025,9.737738131202246,0.7649063418631961,0.04109365813680399
DZA,Algeria,AS,2022,0.761,14581.90288,9.587536510078115,0.7465693431479634,0.014430656852036594
AND,Andorra,,2022,0.893,63913.16447,11.065280635892005,0.9269761319275454,-0.03397613192754534
AGO,Angola,SSA,2022,0.615,6836.106305,8.829973594875248,0.6540841216249373,-0.03908412162493735
ATG,Antigua and Barbuda,LAC,2022,0.848,26433.71028,10.18239537913058,0.8191912378780155,0.028808762121984466
ARG,Argentina,LAC,2022,0.858,26607.29661,10.18894076580067,0.8199903154516253,0.03800968454837472
ARM,Armenia,ECA,2022,0.801,18272.82996,9.813170533928544,0.774115322841743,0.026884677158257042
AUS,Australia,,2022,0.952,58256.355,10.972608464189562,0.9156624757850385,0.0363375242149615
AUT,Austria,,2022,0.927,64374.35362,11.072470597061258,0.9278539008073781,-0.0008539008073780163
AZE,Azerbaijan,ECA,2022,0.784,20490.9817,9.927740151261425,0.7881022752468805,-0.004102275246880449
BHS,Bahamas,LAC,2022,0.818,29827.37358,10.303181827370341,0.8339371569274483,-0.015937156927448348
BHR,Bahrain,AS,2022,0.902,53494.0871,10.88732640528082,0.9052510235454545,-0.003251023545454479
BGD,Bangladesh,SA,2022,0.68,8114.366836,9.001391452998321,0.6750112529078482,0.004988747092151802
BRB,Barbados,LAC,2022,0.807,16878.8616,9.733817325117425,0.7644276798114686,0.04257232018853141
BLR,Belarus,ECA,2022,0.824,25478.91748,10.14560662369724,0.8146999723639192,0.009300027636080732
BEL,Belgium,,2022,0.945,62228.06822,11.03856143449747,0.9237141833681572,0.021285816631842702
BLZ,Belize,LAC,2022,0.717,11827.14614,9.378152688647255,0.721007229797701,-0.004007229797701073
BEN,Benin,SSA,2022,0.512,3666.362316,8.206955254940043,0.5780244465464848,-0.06602444654648476
BTN,Bhutan,SA,2022,0.695,13334.54642,9.498113421789398,0.7356523434325795,-0.04065234343257951
BOL,Bolivia (Plurinational State of),LAC,2022,0.727,9289.554526,9.136645878666762,0.6915234597079469,0.03547654029205305
BIH,Bosnia and Herzegovina,ECA,2022,0.799,19178.35269,9.861537457887628,0.7800200808321014,0.01897991916789865
BWA,Botswana,SSA,2022,0.729,16805.70583,9.729473740467302,0.7638974038693538,-0.034897403869353805
BRA,Brazil,LAC,2022,0.78,17593.54759,9.77528749960228,0.7694904649569154,0.010509535043084606
BRN,Brunei Darussalam,EAP,2022,0.825,75362.43696,11.230064246307014,0.9470933372536734,-0.12209333725367344
BGR,Bulgaria,,2022,0.835,31461.85348,10.35653109032501,0.8404501716268695,-0.00545017162686956
BFA,Burkina Faso,SSA,2022,0.457,2373.406513,7.772081549391763,0.5249339504503269,-0.06793395045032685
BDI,Burundi,SSA,2022,0.437,861.031258,6.758130808066074,0.40114824626253576,0.03585175373746424
CPV,Cabo Verde,SSA,2022,0.664,7769.236894,8.957927226698184,0.6697050288081394,-0.00570502880813939
KHM,Cambodia,EAP,2022,0.602,4612.258422,8.436472912343037,0.6060445501740199,-0.004044550174019945
CMR,Cameroon,SSA,2022,0.581,4662.563929,8.447320775171745,0.6073688850597843,-0.026368885059784297
CAN,Canada,,2022,0.935,56952.03537,10.949964707832821,0.9128980679969332,0.02210193200306687
TCD,Chad,SSA,2022,0.414,1728.910163,7.455246525397577,0.48625391900698633,-0.07225391900698636
CHL,Chile,LAC,2022,0.869,28130.70734,10.244617046564136,0.8267874184468378,0.04221258155316221
CHN,China,EAP,2022,0.796,20888.85431,9.946971009102157,0.7904500276404909,0.005549972359509159
COL,Colombia,LAC,2022,0.782,18321.46972,9.815828859901107,0.7744398580869603,0.007560141913039775
COM,Comoros,SSA,2022,0.602,3461.345817,8.149412756875575,0.5709995109620186,0.03100048903798136
COG,Congo,SSA,2022,0.644,5806.855269,8.6667944415209,0.6341627925273068,0.009837207472693232
COD,Congo (Democratic Republic of the),SSA,2022,0.514,1340.836155,7.201048694608893,0.455220796583262,0.058779203416738035
CRI,Costa Rica,LAC,2022,0.823,22327.96544,10.013595227382641,0.7985836828958026,0.024416317104197338
HRV,Croatia,,2022,0.886,40187.84435,10.601319849528023,0.8703346104858847,0.015665389514115335
CUB,Cuba,LAC,2022,0.764,8549.996826,9.053686190702667,0.6813955284630737,0.0826044715369263
CYP,Cyprus,,2022,0.908,46470.25,10.746567601879487,0.8880668282098072,0.019933171790192827
CZE,Czechia,,2022,0.911,45265.10984,10.720291812505513,0.8848590125258866,0.02614098747411342
CIV,Côte d'Ivoire,SSA,2022,0.565,6540.492164,8.785767696054021,0.6486873522437293,-0.08368735224372936
DNK,Denmark,,2022,0.959,74965.94218,11.224789185115213,0.9464493442689579,0.012550655731042082
DJI,Djibouti,AS,2022,0.51,6278.702232,8.744918587151579,0.6437003883757197,-0.13370038837571974
DMA,Dominica,LAC,2022,0.759,15467.52042,9.646497647591762,0.7537674698708625,0.0052325301291374915
DOM,Dominican Republic,LAC,2022,0.778,21878.21011,9.993246448345111,0.7960994518184337,-0.018099451818433643
ECU,Ecuador,LAC,2022,0.773,13896.85441,9.5394177920699,0.7406948867759773,0.03230511322402274
EGY,Egypt,AS,2022,0.751,16050.96213,9.683524072555878,0.7582877506901724,-0.007287750690172401
SLV,El Salvador,LAC,2022,0.674,10309.4214,9.240813455164623,0.7042405043184816,-0.030240504318481576
GNQ,Equatorial Guinea,SSA,2022,0.677,13996.80428,9.546584316826527,0.7415697944785138,-0.06456979447851374
ERI,Eritrea,SSA,2022,0.499,2009.0848,7.605434573978869,0.5045892607514171,-0.00558926075141708
EST,Estonia,,2022,0.902,43028.08362,10.66960828893571,0.8786714381200493,0.023328561879950693
SWZ,Eswatini (Kingdom of),SSA,2022,0.695,11034.70789,9.308800847112556,0.7125405793074922,-0.0175405793074922
ETH,Ethiopia,SSA,2022,0.494,2686.678875,7.8960610908669056,0.5400696905024666,-0.046069690502466565
FJI,Fiji,EAP,2022,0.726,12005.78316,9.393143742679172,0.7228373760801841,0.003162623919815921
FIN,Finland,,2022,0.946,58411.52447,10.975268486163039,0.9159872180823925,0.03001278191760748
FRA,France,,2022,0.916,55176.22481,10.91828742951924,0.9090308247049437,0.006969175295056362
GAB,Gabon,SSA,2022,0.73,18924.67547,9.848221929941973,0.778394487066836,-0.04839448706683602
GMB,Gambia,SSA,2022,0.519,2732.65957,7.913030615417929,0.5421413735346561,-0.023141373534656062
GEO,Georgia,ECA,2022,0.838,19525.30946,9.879466824006101,0.7822089437819071,0.05579105621809288
DEU,Germany,,2022,0.955,63618.54669,11.060660321439576,0.926412072102198,0.028587927897801957
GHA,Ghana,SSA,2022,0.625,6545.654547,8.78655668052467,0.6487836734892414,-0.023783673489241375
GRC,Greece,,2022,0.897,34502.3192,10.44878182394848,0.8517123775289939,0.04528762247100615
GRD,Grenada,LAC,2022,0.789,13884.07868,9.538498043920388,0.7405826015655401,0.04841739843445991
GTM,Guatemala,LAC,2022,0.655,12170.95582,9.406807721927947,0.7245055096732476,-0.06950550967324753
GIN,Guinea,SSA,2022,0.498,3412.495042,8.135198986598386,0.5692642574716715,-0.07126425747167153
GNB,Guinea-Bissau,SSA,2022,0.511,2357.115622,7.765193956463577,0.5240930954600147,-0.013093095460014692
GUY,Guyana,LAC,2022,0.763,35505.99125,10.477456728829491,0.8552130833804172,-0.09221308338041723
HTI,Haiti,LAC,2022,0.552,3029.894291,8.016283010436087,0.5547466904455033,-0.0027466904455032415
HND,Honduras,LAC,2022,0.643,5906.583865,8.683822917051847,0.6362416724461546,0.006758327553845422
HKG,"Hong Kong, China (SAR)",,2022,0.95,67927.26128,11.126192724575901,0.9344124357675396,0.015587564232460327
HUN,Hungary,,2022,0.867,37600.15,10.53476331873173,0.8622092186920547,0.004790781307945302
ISL,Iceland,,2022,0.964,65820.93494,11.094693226893561,0.9305668963904767,0.03343310360952323
IND,India,SA,2022,0.676,8475.67988,9.04495615085996,0.6803297428331878,-0.004329742833187766
IDN,Indonesia,EAP,2022,0.726,13106.56401,9.480868453161506,0.733547033481813,-0.00754703348181307
IRN,Iran (Islamic Republic of),SA,2022,0.793,15444.05326,9.64497930596663,0.7535821068353576,0.03941789316464239
IRQ,Iraq,AS,2022,0.695,13212.97398,9.488954503139592,0.7345341991791587,-0.03953419917915879
IRL,Ireland,,2022,0.947,87921.89181,11.384204106248191,0.9659111262532449,-0.01891112625324498
ISR,Israel,,2022,0.921,47910.69018,10.777093935534207,0.891793561229185,0.02920643877081508
ITA,Italy,,2022,0.905,50899.81582,10.837614584064484,0.8991820770523771,0.0058179229476229555
JAM,Jamaica,LAC,2022,0.718,9812.845657,9.191447587661319,0.6982137927410057,0.01978620725899427
JPN,Japan,,2022,0.921,46656.39246,10.750565227112787,0.8885548685399873,0.03244513146001271
JOR,Jordan,AS,2022,0.751,9132.887531,9.11963719204233,0.6894469956695046,0.061553004330495376
KAZ,Kazakhstan,ECA,2022,0.831,30149.2581,10.313915594887401,0.8352475627652605,-0.004247562765260504
KEN,Kenya,SSA,2022,0.626,5431.031162,8.599884295819894,0.6259942305199673,5.769480032724594e-06
KIR,Kiribati,EAP,2022,0.642,4826.496776,8.48187617830958,0.6115874972039179,0.030412502796082097
KOR,Korea (Republic of),,2022,0.928,48871.14448,10.796942408856363,0.894216713703065,0.033783286296935056
KWT,Kuwait,AS,2022,0.845,58462.66066,10.976143550116745,0.9160940481317272,-0.07109404813172726
KGZ,Kyrgyzstan,ECA,2022,0.717,5822.80717,8.669537756056101,0.6344977033939871,0.08250229660601283
LAO,Lao People's Democratic Republic,EAP,2022,0.614,7839.114477,8.966881157602948,0.6707981476324778,-0.05679814763247781
LVA,Latvia,,2022,0.881,37623.09546,10.53537338176667,0.8622836967503085,0.018716303249691535
LBN,Lebanon,AS,2022,0.755,11718.96181,9.368963476442813,0.7198853872295201,0.03511461277047989
LSO,Lesotho,SSA,2022,0.547,2968.982948,7.995974731399338,0.5522674037119886,-0.0052674037119885275
LBR,Liberia,SSA,2022,0.508,1500.713999,7.313696273171889,0.4689731015712131,0.03902689842878693
LBY,Libya,AS,2022,0.741,18269.38741,9.812982118979592,0.774092320662066,-0.03309232066206602
