state,year,hdi
andaman and nicobar islands,1990,0.686
andaman and nicobar islands,1996,0.684
andaman and nicobar islands,1999,0.682
andaman and nicobar islands,2004,0.705
andaman and nicobar islands,2009,0.699
andaman and nicobar islands,2014,0.708
andaman and nicobar islands,2019,0.699
andaman and nicobar islands,2022,0.706
andhra pradesh,1990,0.428
andhra pradesh,1996,0.45
andhra pradesh,1999,0.464
andhra pradesh,2004,0.513
andhra pradesh,2009,0.56
andhra pradesh,2014,0.614
andhra pradesh,2019,0.635
andhra pradesh,2022,0.642
arunachal pradesh,1990,0.442
arunachal pradesh,1996,0.474
arunachal pradesh,1999,0.493
arunachal pradesh,2004,0.521
arunachal pradesh,2009,0.606
arunachal pradesh,2014,0.666
arunachal pradesh,2019,0.675
arunachal pradesh,2022,0.683
assam,1990,0.413
assam,1996,0.45
assam,1999,0.476
assam,2004,0.515
assam,2009,0.549
assam,2014,0.586
assam,2019,0.609
assam,2022,0.615
bihar,1990,0.38
bihar,1996,0.408
bihar,1999,0.425
bihar,2004,0.455
bihar,2009,0.495
bihar,2014,0.543
bihar,2019,0.571
bihar,2022,0.577
chandigarh,1990,0.636
chandigarh,1996,0.631
chandigarh,1999,0.627
chandigarh,2004,0.649
chandigarh,2009,0.642
chandigarh,2014,0.697
chandigarh,2019,0.745
chandigarh,2022,0.751
chhattisgarh,1990,0.563
chhattisgarh,1996,0.557
chhattisgarh,1999,0.552
chhattisgarh,2004,0.573
chhattisgarh,2009,0.566
chhattisgarh,2014,0.578
chhattisgarh,2019,0.618
chhattisgarh,2022,0.625
dadra and nagar haveli,1990,0.672
dadra and nagar haveli,1996,0.672
dadra and nagar haveli,1999,0.67
dadra and nagar haveli,2004,0.693
dadra and nagar haveli,2009,0.687
dadra and nagar haveli,2014,0.665
dadra and nagar haveli,2019,0.618
dadra and nagar haveli,2022,0.624
daman and diu,1990,0.651
daman and diu,1996,0.651
daman and diu,1999,0.651
daman and diu,2004,0.673
daman and diu,2009,0.668
daman and diu,2014,0.677
daman and diu,2019,0.668
daman and diu,2022,0.674
delhi,1990,0.581
delhi,1996,0.624
delhi,1999,0.653
delhi,2004,0.677
delhi,2009,0.695
delhi,2014,0.719
delhi,2019,0.728
delhi,2022,0.734
goa,1990,0.558
goa,1996,0.583
goa,1999,0.599
goa,2004,0.653
goa,2009,0.713
goa,2014,0.751
goa,2019,0.753
goa,2022,0.76
gujarat,1990,0.474
gujarat,1996,0.498
gujarat,1999,0.514
gujarat,2004,0.556
gujarat,2009,0.589
gujarat,2014,0.634
gujarat,2019,0.64
gujarat,2022,0.646
haryana,1990,0.471
haryana,1996,0.51
haryana,1999,0.537
haryana,2004,0.575
haryana,2009,0.615
haryana,2014,0.669
haryana,2019,0.689
haryana,2022,0.696
himachal pradesh,1990,0.485
himachal pradesh,1996,0.538
himachal pradesh,1999,0.575
himachal pradesh,2004,0.626
himachal pradesh,2009,0.653
himachal pradesh,2014,0.688
himachal pradesh,2019,0.709
himachal pradesh,2022,0.715
jammu and kashmir,1990,0.499
jammu and kashmir,1996,0.509
jammu and kashmir,1999,0.514
jammu and kashmir,2004,0.568
jammu and kashmir,2009,0.621
jammu and kashmir,2014,0.665
jammu and kashmir,2019,0.712
jammu and kashmir,2022,0.72
jharkhand,1990,0.563
jharkhand,1996,0.557
jharkhand,1999,0.553
jharkhand,2004,0.573
jharkhand,2009,0.566
jharkhand,2014,0.572
jharkhand,2019,0.593
jharkhand,2022,0.6
karnataka,1990,0.448
karnataka,1996,0.482
karnataka,1999,0.504
karnataka,2004,0.549
karnataka,2009,0.587
karnataka,2014,0.641
karnataka,2019,0.667
karnataka,2022,0.673
kerala,1990,0.551
kerala,1996,0.569
kerala,1999,0.579
kerala,2004,0.656
kerala,2009,0.699
kerala,2014,0.741
kerala,2019,0.751
kerala,2022,0.758
lakshadweep,1990,0.695
lakshadweep,1996,0.693
lakshadweep,1999,0.691
lakshadweep,2004,0.715
lakshadweep,2009,0.709
lakshadweep,2014,0.718
lakshadweep,2019,0.712
lakshadweep,2022,0.719
madhya pradesh,1990,0.408
madhya pradesh,1996,0.432
madhya pradesh,1999,0.446
madhya pradesh,2004,0.484
madhya pradesh,2009,0.52
madhya pradesh,2014,0.567
madhya pradesh,2019,0.605
madhya pradesh,2022,0.611
maharashtra,1990,0.498
maharashtra,1996,0.527
maharashtra,1999,0.545
maharashtra,2004,0.586
maharashtra,2009,0.626
maharashtra,2014,0.668
maharashtra,2019,0.689
maharashtra,2022,0.695
manipur,1990,0.5
manipur,1996,0.528
manipur,1999,0.547
manipur,2004,0.582
manipur,2009,0.652
manipur,2014,0.695
manipur,2019,0.676
manipur,2022,0.683
meghalaya,1990,0.461
meghalaya,1996,0.464
meghalaya,1999,0.461
