Year,Annual growth rate in GNI Per Capita
1991,-1.084806347
1992,3.368074341
1993,2.779199948
1994,4.575483106
1995,5.453105597
1996,5.576850245
1997,2.253946966
1998,4.198534398
1999,6.834541384
2000,1.696176608
2001,3.08244722
2002,2.093690562
2003,6.007985131
2004,6.131219219
2005,6.183053346
2006,6.359825707
2007,6.473858012
2008,1.457106207
2009,6.367416345
2010,6.483379641
2011,4.025675623
2012,3.749293435
2013,4.937975653
2014,6.154774727
2015,6.718547568
2016,6.994069676
2017,5.637504282
2018,5.324194139
2019,2.93059564
2020,-7.136903229
2021,9.012931433
2022,6.041765667
2023,6.737824742
