iso3,country,region,year,hdi,GNI_pc,population,HDI_category
BGD,Bangladesh,SA,1990,0.397,1732.812823,111633717.0,Low
BTN,Bhutan,SA,1990,,3360.477396,589287.0,Low
CHN,China,EAP,1990,0.491,1647.22731,1153582724.0,Low
IND,India,SA,1990,0.446,2167.222109,864972221.5,Low
KGZ,Kyrgyzstan,ECA,1990,0.649,6155.677592,4459543.5,Medium
NPL,Nepal,SA,1990,0.404,1761.884562,19524573.0,Low
PAK,Pakistan,SA,1990,0.396,3137.537472,116155576.0,Low
LKA,Sri Lanka,SA,1990,0.638,4305.444824,16352457.5,Medium
TUR,Türkiye,ECA,1990,0.598,12736.77076,56015627.5,Medium
BGD,Bangladesh,SA,1991,0.395,1760.525147,113787109.0,Low
BTN,Bhutan,SA,1991,,3213.877508,599783.5,Low
CHN,China,EAP,1991,0.499,1772.221313,1170788528.0,Low
IND,India,SA,1991,0.448,2143.711946,883927600.5,Low
KGZ,Kyrgyzstan,ECA,1991,0.643,5569.906377,4532116.0,Medium
NPL,Nepal,SA,1991,0.412,1824.622424,20036500.5,Low
PAK,Pakistan,SA,1991,0.4,3188.341631,120060406.5,Low
LKA,Sri Lanka,SA,1991,0.642,4444.070397,16475353.500000002,Medium
TUR,Türkiye,ECA,1991,0.602,12584.48657,57009887.5,Medium
BGD,Bangladesh,SA,1992,0.411,1810.401348,115952191.5,Low
BTN,Bhutan,SA,1992,,3401.885899,577774.0,Low
CHN,China,EAP,1992,0.511,1997.708214,1184574237.0,Low
IND,India,SA,1992,0.453,2215.913758,902957070.0,Low
KGZ,Kyrgyzstan,ECA,1992,0.631,4706.948978,4600310.5,Medium
NPL,Nepal,SA,1992,0.42,1847.337943,20609707.0,Low
PAK,Pakistan,SA,1992,0.405,3343.043655,123546848.5,Low
LKA,Sri Lanka,SA,1992,0.65,4610.849303,16739283.500000002,Medium
TUR,Türkiye,ECA,1992,0.608,13145.6779,57990117.5,Medium
BGD,Bangladesh,SA,1993,0.419,1863.614907,118132360.5,Low
BTN,Bhutan,SA,1993,,3691.064632,554672.5,Low
CHN,China,EAP,1993,0.522,2245.066014,1197308575.0,Low
IND,India,SA,1993,0.458,2277.498432,922118387.0,Low
KGZ,Kyrgyzstan,ECA,1993,0.615,3927.758939,4626803.0,Medium
NPL,Nepal,SA,1993,0.425,1867.978979,21180158.5,Low
PAK,Pakistan,SA,1993,0.408,3305.279622,127020116.5,Low
LKA,Sri Lanka,SA,1993,0.658,4884.156495,17025918.5,Medium
TUR,Türkiye,ECA,1993,0.615,13938.31346,58999167.0,Medium
BGD,Bangladesh,SA,1994,0.426,1911.614134,120343179.0,Low
BTN,Bhutan,SA,1994,,3970.233627,554497.5,Low
CHN,China,EAP,1994,0.532,2513.799067,1209003097.0,Low
IND,India,SA,1994,0.463,2381.704988,941163767.5,Low
KGZ,Kyrgyzstan,ECA,1994,0.595,3114.196898,4649185.0,Medium
NPL,Nepal,SA,1994,0.433,1972.548504,21717478.5,Low
PAK,Pakistan,SA,1994,0.412,3324.291169,130748083.0,Low
LKA,Sri Lanka,SA,1994,0.664,5074.803848,17275773.5,Medium
TUR,Türkiye,ECA,1994,0.616,12915.24495,60033835.5,Medium
BGD,Bangladesh,SA,1995,0.434,1967.356996,122600370.0,Low
BTN,Bhutan,SA,1995,,3992.15844,547989.0,Low
CHN,China,EAP,1995,0.543,2724.413528,1220133928.0,Low
IND,India,SA,1995,0.469,2511.581876,960301043.5,Low
