State_UT,Year,HDI
Goa,2019,0.801
Kerala,2019,0.799
Chandigarh,2019,0.793
Puducherry,2019,0.782
Delhi,2019,0.777
Jammu and Kashmir,2019,0.76
Himachal Pradesh,2019,0.757
Sikkim,2019,0.753
Lakshwadeep,2019,0.751
Mizoram,2019,0.751
Andaman and Nicobar,2019,0.746
Punjab,2019,0.738
Haryana,2019,0.737
Maharashtra,2019,0.736
Tamil Nadu,2019,0.732
Manipur,2019,0.725
Arunachal Pradesh,2019,0.722
Uttarakhand,2019,0.722
Nagaland,2019,0.72
Karnataka,2019,0.713
Daman and Diu,2019,0.713
Telangana,2019,0.699
Rajasthan,2019,0.692
Meghalaya,2019,0.69
Gujarat,2019,0.685
India,2019,0.685
Andhra Pradesh,2019,0.681
West Bengal,2019,0.674
Chhattisgarh,2019,0.665
Tripura,2019,0.664
Dadra and Nagar Haveli,2019,0.663
Assam,2019,0.655
Madhya Pradesh,2019,0.651
Uttar Pradesh,2019,0.65
Odisha,2019,0.649
Jharkhand,2019,0.639
Bihar,2019,0.617
