State,Year,HDI
Andaman and Nicobar Islands,1990,0.686
Andaman and Nicobar Islands,1991,0.69
Andaman and Nicobar Islands,1992,0.697
Andaman and Nicobar Islands,1993,0.691
Andaman and Nicobar Islands,1994,0.688
Andaman and Nicobar Islands,1995,0.685
Andaman and Nicobar Islands,1996,0.684
Andaman and Nicobar Islands,1997,0.682
Andaman and Nicobar Islands,1998,0.681
Andaman and Nicobar Islands,1999,0.682
Andaman and Nicobar Islands,2000,0.684
Andaman and Nicobar Islands,2001,0.685
Andaman and Nicobar Islands,2002,0.688
Andaman and Nicobar Islands,2003,0.699
Andaman and Nicobar Islands,2004,0.705
Andaman and Nicobar Islands,2005,0.712
Andaman and Nicobar Islands,2006,0.718
Andaman and Nicobar Islands,2007,0.713
Andaman and Nicobar Islands,2008,0.707
Andaman and Nicobar Islands,2009,0.699
Andaman and Nicobar Islands,2010,0.697
Andaman and Nicobar Islands,2011,0.7
Andaman and Nicobar Islands,2012,0.696
Andaman and Nicobar Islands,2013,0.7
Andaman and Nicobar Islands,2014,0.708
Andaman and Nicobar Islands,2015,0.714
Andaman and Nicobar Islands,2016,0.723
Andaman and Nicobar Islands,2017,0.718
Andaman and Nicobar Islands,2018,0.707
Andaman and Nicobar Islands,2019,0.699
Andaman and Nicobar Islands,2020,0.699
Andaman and Nicobar Islands,2021,0.693
Andaman and Nicobar Islands,2022,0.706
Andhra Pradesh,1990,0.428
Andhra Pradesh,1991,0.43
Andhra Pradesh,1992,0.435
Andhra Pradesh,1993,0.438
Andhra Pradesh,1994,0.441
Andhra Pradesh,1995,0.446
Andhra Pradesh,1996,0.45
Andhra Pradesh,1997,0.454
Andhra Pradesh,1998,0.459
Andhra Pradesh,1999,0.464
Andhra Pradesh,2000,0.472
Andhra Pradesh,2001,0.478
Andhra Pradesh,2002,0.487
Andhra Pradesh,2003,0.502
Andhra Pradesh,2004,0.513
Andhra Pradesh,2005,0.524
Andhra Pradesh,2006,0.535
Andhra Pradesh,2007,0.546
Andhra Pradesh,2008,0.554
Andhra Pradesh,2009,0.56
Andhra Pradesh,2010,0.571
Andhra Pradesh,2011,0.586
Andhra Pradesh,2012,0.595
Andhra Pradesh,2013,0.602
Andhra Pradesh,2014,0.614
Andhra Pradesh,2015,0.623
Andhra Pradesh,2016,0.635
Andhra Pradesh,2017,0.638
Andhra Pradesh,2018,0.635
