District,MPI_HCR,query,lat,lon
Bahraich,54.44,"Bahraich, India",27.7343823,81.47654
Araria,52.07,"Araria, India",26.1346459,87.4654062
Purnia,50.7,"Purnia, India",25.7758723,87.4087667
Supaul,50.64,"Supaul, India",26.2768089,86.7959614
Pakur,49.87,"Pakur, India",24.5325909,87.593232
Bijapur,49.72,"Bijapur, India",18.7935679,80.815939
Shrawasti,49.62,"Shrawasti, India",19.1550091,72.8403173
Jhabua,49.62,"Jhabua, India",22.8869652,74.7243249
Saharsa,49.0,"Saharsa, India",25.8330757,86.6143751
Sahibganj,48.45,"Sahibganj, India",25.0320437,87.691764
Pashchimi Singhbhum,47.81,"Pashchimi Singhbhum, India",,
Madhepura,45.78,"Madhepura, India",25.7806118,86.9364753
Kishanganj,45.55,"Kishanganj, India",26.2984144,87.9466715
Malkangiri,45.01,"Malkangiri, India",18.2744685,81.9520316
Katihar,44.21,"Katihar, India",25.5586421,87.6457196
Sitamarhi,42.82,"Sitamarhi, India",26.5942841,85.500428
Jamui,41.94,"Jamui, India",24.7562513,86.3011128
Latehar,41.68,"Latehar, India",23.6880057,84.4969551
Balrampur,41.55,"Balrampur, India",27.4476988,82.3956245
Khagaria,41.38,"Khagaria, India",25.4930513,86.6982264
Alirajpur,40.25,"Alirajpur, India",22.2859524,74.3545628
Sitapur,40.15,"Sitapur, India",27.5026747,80.8335139
Mewat,39.99,"Mewat, India",27.9935177,77.0419634
Dohad,38.27,"Dohad, India",24.5175816,77.2366335
Banka,38.22,"Banka, India",24.8328273,86.8161114
Sheopur,38.0,"Sheopur, India",25.7499266,76.9212945
Dumka,37.98,"Dumka, India",24.2677937,87.2485495
Siddharthnagar,37.67,"Siddharthnagar, India",27.2511724,82.8716528
Samastipur,37.36,"Samastipur, India",25.7747885,85.8672314
Deoghar,37.04,"Deoghar, India",24.4898318,86.6990182
Chatra,37.0,"Chatra, India",24.1062316,84.8623379
Pashchim Champaran,36.67,"Pashchim Champaran, India",27.0,84.5
Narayanpur,36.65,"Narayanpur, India",19.5842032,81.1136986
Purba Champaran,36.39,"Purba Champaran, India",26.583333,84.833333
Godda,36.36,"Godda, India",24.8645886,87.2984838
Hailakandi,36.22,"Hailakandi, India",24.6846916,92.5645836
Garhwa,35.84,"Garhwa, India",24.053577,83.6526818
Gaya,35.43,"Gaya, India",24.679389,85.0115833
Darbhanga,35.07,"Darbhanga, India",26.08299,86.0324951
Kheri,34.73,"Kheri, India",28.116667,80.716667
Dindori,34.57,"Dindori, India",22.9070871,80.8846924
Hardoi,34.14,"Hardoi, India",27.3369978,80.0998232
Rayagada,34.03,"Rayagada, India",19.4426698,83.5873053
Madhubani,33.91,"Madhubani, India",26.3503076,86.2296424
Banda,33.8,"Banda, India",25.4438537,80.5595237
Sheohar,33.8,"Sheohar, India",26.4934234,85.2717561
Koraput,33.54,"Koraput, India",18.7232023,82.6100596
Barwani,33.52,"Barwani, India",21.7514248,74.8915957
Nabarangapur,33.45,"Nabarangapur, India",19.6096232,82.2987685
Khunti,33.38,"Khunti, India",22.9281801,85.2814475
