Year,Expected_years_schooling,HDI,Life_expectancy,GNI_per_capita,Mean_years_schooling
1990,8.20444394,0.446,58.618,2167.222109,2.780574365
1991,8.216523603,0.448,59.032,2143.711946,2.88390652
1992,8.228621051,0.453,59.445,2215.913758,2.987238675
1993,8.240736311,0.458,59.823,2277.498432,3.090570831
1994,8.252869409,0.463,60.237,2381.704988,3.193902986
1995,8.26502037,0.469,60.63,2511.581876,3.297235142
1996,8.266550064,0.476,61.027,2651.649036,3.466324123
1997,8.289759636,0.482,61.439,2711.415799,3.635413105
1998,8.301849683,0.488,61.852,2825.255524,3.804502087
1999,8.31393973,0.496,62.284,3018.348782,3.973591068
2000,8.326029778,0.501,62.749,3069.545308,4.14268005
2001,8.807609558,0.511,63.158,3164.162422,4.219709475
2002,8.872280121,0.516,63.649,3230.410192,4.2967389
2003,9.489009857,0.529,64.086,3424.492756,4.373768325
2004,9.759057283,0.538,64.484,3634.455914,4.45079775
2005,10.02910471,0.547,64.939,3859.176262,4.527827175
2006,10.29915214,0.557,65.373,4104.613146,4.634916863
2007,10.56919956,0.566,65.803,4370.339973,4.742006551
2008,10.86855984,0.574,66.247,4434.020468,4.84909624
2009,10.78787994,0.579,66.7,4716.353012,4.956185928
2010,11.10916996,0.59,67.162,5022.132083,5.063275616
2011,11.69287014,0.603,67.623,5224.30683,5.300000191
2012,11.76546955,0.609,68.076,5420.181423,5.397578144
2013,11.80904961,0.615,68.499,5687.828662,5.495156097
2014,12.16592026,0.625,68.932,6037.901703,5.592734051
2015,12.26624012,0.633,69.326,6443.561001,5.690312004
2016,12.67975998,0.644,69.709,6894.228147,5.787889957
2017,12.50761032,0.649,70.068,7282.890554,6.013944864
2018,11.81653976,0.648,70.415,7670.645786,6.239999771
2019,11.75397968,0.651,70.746,7895.441397,6.281380177
2020,12.1291399,0.652,70.156,7331.951385,6.489999771
2021,12.40237045,0.647,67.282,7992.775136,6.529999971
2022,12.95646,0.676,71.698,8475.67988,6.570000172
2023,12.95454025,0.685,72.003,9046.756336,6.880000114
