District,MPI_HCR
North & Middle Andaman,4.39
Nicobars,3.4
South Andaman,1.15
Kurnool,12.84
Vizianagaram,8.66
Visakhapatnam,7.6
Prakasam,6.28
Srikakulam,5.2
Anantapur,6.74
Spsr Nellore,5.41
Chittoor,5.66
Y.S.R. Kadapa,3.34
West Godavari,2.42
Krishna,4.38
East Godavari,6.13
Guntur,4.36
East Kameng,22.05
Kurung Kumey,11.14
Lohit,12.39
Tawang,8.46
Tirap,14.78
Upper Subansiri,19.71
Changlang,14.39
Lower Dibang Valley,9.08
Anjaw,13.09
West Kameng,4.74
Dibang Valley,10.11
Lower Subansiri,6.39
Upper Siang,8.74
West Siang,13.85
Papum Pare,13.76
East Siang,8.11
Kra Daadi,18.91
Longding,20.97
Namsai,22.11
Siang,9.15
Dhubri,26.02
Hailakandi,36.22
Karimganj,32.93
Cachar,30.58
Goalpara,18.34
Tinsukia,17.66
Darrang,23.65
Barpeta,19.12
Karbi Anglong,16.2
Morigaon,22.46
Chirang,16.79
Dima Hasao,13.62
Bongaigaon,17.39
Kokrajhar,18.92
Nagaon,20.84
Dibrugarh,12.26
Udalguri,19.16
Sivasagar,10.28
Dhemaji,13.73
Kamrup,12.71
Sonitpur,19.94
Lakhimpur,14.06
Baksa,15.6
Golaghat,14.6
Jorhat,11.49
Nalbari,11.24
Kamrup Metropolitan,5.63
Biswanath,22.09
Charaideo,20.1
Hojai,14.13
Majuli,14.41
South Salmara Mancachar,28.24
West Karbi Anglong,24.09
Araria,52.07
Madhepura,45.78
Kishanganj,45.55
Purnia,50.7
Purba Champaran,36.39
Saharsa,49
Katihar,44.21
Sitamarhi,42.82
Supaul,50.64
Jamui,41.94
Khagaria,41.38
Sheohar,33.8
Pashchim Champaran,36.67
Samastipur,37.36
Darbhanga,35.07
Banka,38.22
Madhubani,33.91
Gaya,35.43
Nawada,32.13
Sheikhpura,31.17
Begusarai,28.28
Arwal,31.72
Muzaffarpur,27.61
Bhagalpur,27.4
Nalanda,30.02
Vaishali,29.22
Jehanabad,31.77
Lakhisarai,31.46
Kaimur,29.95
Saran,27.74
Aurangabad,26.8
Gopalganj,23.23
Munger,21.63
Buxar,26
Bhojpur,26.35
Siwan,17.41
Rohtas,21.93
Patna,23.09
Chandigarh,3.52
Dantewada,29.53
Narayanpur,36.65
Bastar,34.69
Surguja,24.33
Jashpur,25.41
Kabeerdham,13.78
Bijapur,49.72
Koriya,20.03
Korba,18.11
Raigarh,19.08
Mahasamund,12.5
Uttar Bastar Kanker,13.9
Bilaspur,16.74
Janjgir-Champa,11.68
Raipur,8.73
Rajnandgaon,10.77
Durg,3.55
Dhamtari,5.81
Balod,5.77
