District,"Any child between the ages of 0 to 59 months, or woman between the ages of 15 to 49 years, or man between the ages of 15 to 54 years -for whom nutritional information is available - is found to be undernourished."
West Khasi Hills,63.75%
Dohad,62.00%
Bijapur,57.44%
South West Khasi Hills,57.38%
Malkangiri,54.60%
Araria,53.88%
Pashchimi Singhbhum,52.85%
East Jantia Hills,52.47%
Bahraich,52.19%
Sukma,52.12%
Supaul,51.27%
Nandurbar,50.64%
Shrawasti,50.58%
Pakur,50.22%
Bastar,49.92%
Saharsa,49.81%
Yadgir,49.64%
Nabarangapur,49.59%
Aravali,49.30%
Sitamarhi,49.20%
Panch Mahals,48.76%
Purnia,48.51%
Sitapur,48.37%
Sahibganj,48.28%
Deoghar,48.27%
Balrampur,47.76%
Kishanganj,47.69%
Siddharthnagar,47.68%
Sheopur,47.54%
Madhepura,47.08%
Kodarma,46.97%
Banas Kantha,46.76%
Narmada,46.76%
Kheri,46.71%
Jhabua,46.35%
Jamui,46.28%
Chhota Udaipur,46.28%
Aurangabad,46.26%
Nawada,46.18%
Dang,45.67%
Banda,45.61%
Tapi,45.11%
Kodagaon,45.10%
Latehar,45.10%
Chatra,44.85%
Mewat,44.82%
Bundi,44.65%
Samastipur,44.45%
Puruliya,44.44%
Anand,44.37%
Mahoba,44.25%
Arwal,44.19%
Garhwa,44.02%
Lakhisarai,43.99%
Narayanpur,43.96%
Jehanabad,43.78%
Hazaribagh,43.76%
Budaun,43.75%
Barwani,43.73%
Rayagada,43.56%
Mahisagar,43.55%
Kheda,43.53%
Gonda,43.52%
Jamtara,43.51%
West Jaintia Hills,43.43%
Nashik,43.42%
Katihar,43.41%
Begusarai,43.40%
Sabar Kantha,43.28%
Lalitpur,43.23%
Hingoli,43.11%
Raichur,43.04%
Patan,42.98%
Banka,42.93%
Dantewada,42.92%
Balrampur,42.83%
Ribhoi,42.80%
Hailakandi,42.77%
Khagaria,42.65%
Sheikhpura,42.62%
Jalaun,42.56%
Nuapada,42.46%
Purba Champaran,42.43%
Palamu,42.41%
Kachchh,42.01%
Barmer,42.01%
Gaya,41.87%
Giridih,41.71%
Sonbhadra,41.69%
Dhule,41.62%
Bharuch,41.61%
Adilabad,41.59%
Bhojpur,41.53%
Hardoi,41.37%
Jogulamba Gadwal,41.35%
Dumka,41.21%
Koraput,41.21%
Mayurbhanj,41.20%
Dadra & Nagar Haveli,41.10%
Jalor,41.05%
Kanshiram Nagar,41.04%
Karimganj,40.98%
Jyotiba Phule Nagar,40.88%
Koppal,40.85%
Morena,40.84%
Bidar,40.80%
Saran,40.69%
Dausa,40.62%
Sambhal,40.60%
Bhagalpur,40.54%
Buxar,40.54%
Fatehpur,40.54%
Dhaulpur,40.43%
Nalanda,40.34%
Kaimur,40.34%
Dindori,40.28%
Ramgarh,40.24%
Belgaum,40.21%
Mahabubnagar,40.20%
Gir Somnath,40.14%
Vaishali,40.14%
Kannauj,40.08%
