District,"Any child between the ages of 0 to 59 months, or woman between the ages of 15 to 49 years, or man between the ages of 15 to 54 years -for whom nutritional information is available - is found to be undernourished.",query,lat,lon
West Khasi Hills,0.6375,"West Khasi Hills, India",25.5814429,91.0851094
Dohad,0.62,"Dohad, India",24.5175816,77.2366335
Bijapur,0.5744,"Bijapur, India",18.7935679,80.815939
South West Khasi Hills,0.5738,"South West Khasi Hills, India",25.3307221,91.3217388
Malkangiri,0.546,"Malkangiri, India",18.2744685,81.9520316
Araria,0.5388000000000001,"Araria, India",26.1346459,87.4654062
Pashchimi Singhbhum,0.5285,"Pashchimi Singhbhum, India",,
East Jantia Hills,0.5246999999999999,"East Jantia Hills, India",,
Bahraich,0.5219,"Bahraich, India",27.7343823,81.47654
Sukma,0.5212,"Sukma, India",18.2665423,81.2925234
Supaul,0.5127,"Supaul, India",26.2768089,86.7959614
Nandurbar,0.5064,"Nandurbar, India",21.5141622,74.5405513
Shrawasti,0.5058,"Shrawasti, India",19.1550091,72.8403173
Pakur,0.5022,"Pakur, India",24.5325909,87.593232
Bastar,0.49920000000000003,"Bastar, India",19.1191283,81.8291865
Saharsa,0.49810000000000004,"Saharsa, India",25.8330757,86.6143751
Yadgir,0.4964,"Yadgir, India",16.5744123,76.9254434
Nabarangapur,0.4959,"Nabarangapur, India",19.6096233,82.2987685
Aravali,0.493,"Aravali, India",24.6464,72.768
Sitamarhi,0.49200000000000005,"Sitamarhi, India",26.5942841,85.500428
Panch Mahals,0.4876,"Panch Mahals, India",23.0,74.0
Purnia,0.4851,"Purnia, India",25.7758723,87.4087667
Sitapur,0.48369999999999996,"Sitapur, India",27.5026748,80.8335139
Sahibganj,0.4828,"Sahibganj, India",25.0320437,87.691764
Deoghar,0.4827,"Deoghar, India",24.4898318,86.6990182
Balrampur,0.47759999999999997,"Balrampur, India",27.4476988,82.3956245
Kishanganj,0.4769,"Kishanganj, India",26.2984144,87.9466715
Siddharthnagar,0.4768,"Siddharthnagar, India",27.2511724,82.8716528
Sheopur,0.4754,"Sheopur, India",25.7499267,76.9212945
Madhepura,0.4708,"Madhepura, India",25.7806118,86.9364753
Kodarma,0.4697,"Kodarma, India",24.5423802,85.69301
Banas Kantha,0.46759999999999996,"Banas Kantha, India",24.2693869,72.5367513
Narmada,0.46759999999999996,"Narmada, India",22.6694223,77.5687122
Kheri,0.4671,"Kheri, India",28.116667,80.716667
Jhabua,0.4635,"Jhabua, India",22.8869652,74.7243249
Jamui,0.4628,"Jamui, India",24.7562514,86.3011128
Chhota Udaipur,0.4628,"Chhota Udaipur, India",22.2224345,73.7778749
Aurangabad,0.46259999999999996,"Aurangabad, India",19.877263,75.3390241
Nawada,0.4618,"Nawada, India",24.8173249,85.5179085
Dang,0.4567,"Dang, India",20.7881718,73.7092033
Banda,0.4561,"Banda, India",25.4438537,80.5595237
Tapi,0.4511,"Tapi, India",21.1787195,75.44245
Kodagaon,0.451,"Kodagaon, India",19.6701931,81.5683823
Latehar,0.451,"Latehar, India",23.6880057,84.4969551
Chatra,0.4485,"Chatra, India",24.1062316,84.8623379
Mewat,0.4482,"Mewat, India",27.9935177,77.0419634
Bundi,0.4465,"Bundi, India",25.4367659,75.7361471
Samastipur,0.4445,"Samastipur, India",25.7747885,85.8672314
Puruliya,0.44439999999999996,"Puruliya, India",23.333333,86.416667
Anand,0.4437,"Anand, India",22.4739858,72.7361779
Mahoba,0.4425,"Mahoba, India",25.3615938,79.706011
Arwal,0.44189999999999996,"Arwal, India",25.1812832,84.6596648
Garhwa,0.44020000000000004,"Garhwa, India",24.053577,83.6526818
Lakhisarai,0.4399,"Lakhisarai, India",25.1543939,86.1744959
Narayanpur,0.4396,"Narayanpur, India",19.5842032,81.1136986
Jehanabad,0.4378,"Jehanabad, India",25.1529579,85.0065043
Hazaribagh,0.4376,"Hazaribagh, India",24.0866962,85.4912231
Budaun,0.4375,"Budaun, India",28.0367001,79.1234
Barwani,0.43729999999999997,"Barwani, India",21.7514248,74.8915957
Rayagada,0.43560000000000004,"Rayagada, India",19.4426698,83.5873053
Mahisagar,0.4355,"Mahisagar, India",23.1912194,73.6644398
Kheda,0.4353,"Kheda, India",22.8532503,72.9953586
Gonda,0.43520000000000003,"Gonda, India",27.1103723,81.9238906
Jamtara,0.4351,"Jamtara, India",23.9801639,86.9243637
West Jaintia Hills,0.4343,"West Jaintia Hills, India",25.4425965,92.2988275
Nashik,0.43420000000000003,"Nashik, India",20.0112475,73.7902364
Katihar,0.4341,"Katihar, India",25.5586421,87.6457196
Begusarai,0.434,"Begusarai, India",25.5125411,86.0883392
Sabar Kantha,0.4328,"Sabar Kantha, India",23.5,73.25
Lalitpur,0.43229999999999996,"Lalitpur, India",24.6999688,78.51862
Hingoli,0.4311,"Hingoli, India",19.5431163,77.1739432
Raichur,0.4304,"Raichur, India",16.0547194,76.9003647
Patan,0.42979999999999996,"Patan, India",23.773753,71.6798581
Banka,0.4293,"Banka, India",24.8328273,86.8161114
Dantewada,0.4292,"Dantewada, India",18.8640648,81.3833947
Balrampur,0.42829999999999996,"Balrampur, India",27.4476988,82.3956245
Ribhoi,0.428,"Ribhoi, India",25.723641,92.0426339
Hailakandi,0.4277,"Hailakandi, India",24.6846916,92.5645836
Khagaria,0.4265,"Khagaria, India",25.4930513,86.6982264
Sheikhpura,0.42619999999999997,"Sheikhpura, India",25.1250741,85.8160771
Jalaun,0.42560000000000003,"Jalaun, India",26.1048633,79.3919136
Nuapada,0.42460000000000003,"Nuapada, India",20.5412657,82.5292352
Purba Champaran,0.4243,"Purba Champaran, India",26.583333,84.833333
Palamu,0.4241,"Palamu, India",24.2212983,84.1725565
Kachchh,0.4201,"Kachchh, India",23.583333,70.0
Barmer,0.4201,"Barmer, India",25.5814853,71.1924922
Gaya,0.41869999999999996,"Gaya, India",24.7964355,85.0079563
Giridih,0.4171,"Giridih, India",24.3314547,86.1548117
Sonbhadra,0.4169,"Sonbhadra, India",24.4148159,83.0637517
Dhule,0.41619999999999996,"Dhule, India",21.1305215,74.4900614
Bharuch,0.41609999999999997,"Bharuch, India",21.7080427,72.9956936
Adilabad,0.41590000000000005,"Adilabad, India",19.6759452,78.5339895
Bhojpur,0.4153,"Bhojpur, India",25.4501182,84.5635193
Hardoi,0.41369999999999996,"Hardoi, India",27.3369978,80.0998232
Jogulamba Gadwal,0.41350000000000003,"Jogulamba Gadwal, India",16.0999202,77.7341584
Dumka,0.4121,"Dumka, India",24.2677937,87.2485495
Koraput,0.4121,"Koraput, India",18.7232023,82.6100596
Mayurbhanj,0.41200000000000003,"Mayurbhanj, India",21.9156338,86.3961824
Dadra & Nagar Haveli,0.41100000000000003,"Dadra & Nagar Haveli, India",20.233792,73.0495173
Jalor,0.4105,"Jalor, India",25.3476006,72.6260916
Kanshiram Nagar,0.4104,"Kanshiram Nagar, India",13.0895889,77.5389719
Karimganj,0.40979999999999994,"Karimganj, India",24.5828196,92.3725487
Jyotiba Phule Nagar,0.40880000000000005,"Jyotiba Phule Nagar, India",19.1325956,72.9195901
Koppal,0.40850000000000003,"Koppal, India",15.5748238,76.3118494
Morena,0.40840000000000004,"Morena, India",26.3849794,77.8612721
Bidar,0.408,"Bidar, India",18.0207297,77.2487204
Saran,0.4069,"Saran, India",25.9214451,84.7759731
Dausa,0.40619999999999995,"Dausa, India",26.8048659,76.4437457
Sambhal,0.406,"Sambhal, India",28.4271928,78.5564546
Bhagalpur,0.4054,"Bhagalpur, India",25.2861354,87.1304229
Buxar,0.4054,"Buxar, India",25.5044834,84.1097525
Fatehpur,0.4054,"Fatehpur, India",25.8348023,80.9154547
Dhaulpur,0.4043,"Dhaulpur, India",26.6530332,77.6241037
Nalanda,0.40340000000000004,"Nalanda, India",25.1364914,85.4436546
Kaimur,0.40340000000000004,"Kaimur, India",24.975466,83.5768379
Dindori,0.4028,"Dindori, India",22.9070871,80.8846924
Ramgarh,0.40240000000000004,"Ramgarh, India",23.693479,85.5215989
Belgaum,0.4021,"Belgaum, India",15.8572666,74.5069343
Mahabubnagar,0.402,"Mahabubnagar, India",16.6965686,77.9591146
Gir Somnath,0.4014,"Gir Somnath, India",20.9298181,70.7627578
Vaishali,0.4014,"Vaishali, India",25.7491703,85.3972164
Kannauj,0.4008,"Kannauj, India",26.9986675,79.6927946
