year,hdi,log_gni_pc,HDI_category
1990,0.434,7.493,Low
1991,0.437,7.481,Low
1992,0.442,7.514,Low
1993,0.446,7.54,Low
1994,0.452,7.586,Low
1995,0.458,7.641,Low
1996,0.465,7.695,Low
1997,0.471,7.717,Low
1998,0.477,7.758,Low
1999,0.485,7.825,Low
2000,0.49,7.842,Low
2001,0.495,7.873,Low
2002,0.501,7.894,Low
2003,0.514,7.952,Low
2004,0.523,8.012,Low
2005,0.532,8.072,Low
2006,0.541,8.134,Low
2007,0.55,8.196,Medium
2008,0.557,8.211,Medium
2009,0.562,8.272,Medium
2010,0.572,8.335,Medium
2011,0.586,8.375,Medium
2012,0.594,8.411,Medium
2013,0.6,8.46,Medium
2014,0.611,8.52,Medium
2015,0.619,8.585,Medium
2016,0.63,8.643,Medium
2017,0.636,8.707,Medium
2018,0.636,8.759,Medium
2019,0.638,8.788,Medium
2020,0.638,8.714,Medium
2021,0.633,8.786,Medium
2022,0.644,8.847,Medium
1990,0.686,8.656,Medium
1991,0.69,8.641,Medium
1992,0.697,8.679,Medium
1993,0.691,8.705,Medium
1994,0.688,8.753,Medium
1995,0.685,8.811,Medium
1996,0.684,8.869,Medium
1997,0.682,8.888,Medium
1998,0.681,8.931,Medium
1999,0.682,9.003,Medium
2000,0.684,8.997,Medium
2001,0.685,9.008,Medium
2002,0.688,9.008,Medium
2003,0.699,9.049,Medium
2004,0.705,9.093,High
2005,0.712,9.136,High
2006,0.718,9.181,High
2007,0.713,9.21,High
2008,0.707,9.184,High
2009,0.699,9.212,Medium
2010,0.697,9.241,Medium
2011,0.7,9.243,High
2012,0.696,9.243,Medium
2013,0.7,9.232,High
2014,0.708,9.233,High
2015,0.714,9.241,High
2016,0.723,9.241,High
2017,0.718,9.268,High
2018,0.707,9.282,High
2019,0.699,9.272,Medium
2020,0.699,9.195,Medium
2021,0.693,9.27,Medium
2022,0.706,9.334,High
1990,0.428,7.419,Low
1991,0.43,7.406,Low
1992,0.435,7.439,Low
1993,0.438,7.467,Low
1994,0.441,7.514,Low
1995,0.446,7.57,Low
1996,0.45,7.626,Low
1997,0.454,7.649,Low
1998,0.459,7.692,Low
1999,0.464,7.761,Low
2000,0.472,7.795,Low
2001,0.478,7.843,Low
2002,0.487,7.882,Low
2003,0.502,7.957,Low
2004,0.513,8.034,Low
2005,0.524,8.111,Low
2006,0.535,8.191,Low
2007,0.546,8.274,Low
2008,0.554,8.308,Medium
2009,0.56,8.39,Medium
2010,0.571,8.474,Medium
2011,0.586,8.533,Medium
2012,0.595,8.59,Medium
2013,0.602,8.638,Medium
2014,0.614,8.697,Medium
2015,0.623,8.761,Medium
2016,0.635,8.819,Medium
2017,0.638,8.884,Medium
2018,0.635,8.937,Medium
2019,0.635,8.967,Medium
2020,0.635,8.892,Medium
2021,0.63,8.965,Medium
2022,0.642,9.027,Medium
1990,0.442,7.489,Low
1991,0.445,7.476,Low
1992,0.449,7.509,Low
1993,0.455,7.528,Low
1994,0.461,7.565,Low
1995,0.467,7.611,Low
1996,0.474,7.658,Low
1997,0.479,7.671,Low
1998,0.485,7.703,Low
1999,0.493,7.762,Low
2000,0.496,7.817,Low
2001,0.499,7.886,Low
2002,0.503,7.946,Low
2003,0.514,8.042,Low
2004,0.521,8.141,Low
2005,0.528,8.24,Low
2006,0.535,8.342,Low
2007,0.562,8.448,Medium
2008,0.586,8.505,Medium
2009,0.606,8.61,Medium
2010,0.632,8.717,Medium
2011,0.66,8.8,Medium
2012,0.682,8.88,Medium
2013,0.672,8.841,Medium
2014,0.666,8.813,Medium
2015,0.655,8.792,Medium
2016,0.645,8.763,Medium
2017,0.659,8.859,Medium
2018,0.666,8.943,Medium
2019,0.675,9.004,Medium
2020,0.675,8.929,Medium
2021,0.67,9.002,Medium
2022,0.683,9.064,Medium
1990,0.413,7.174,Low
1991,0.415,7.163,Low
1992,0.42,7.194,Low
1993,0.426,7.212,Low
1994,0.434,7.248,Low
1995,0.442,7.292,Low
1996,0.45,7.337,Low
1997,0.458,7.349,Low
1998,0.466,7.38,Low
1999,0.476,7.437,Low
2000,0.481,7.462,Low
2001,0.486,7.502,Low
2002,0.493,7.532,Low
2003,0.506,7.597,Low
2004,0.515,7.664,Low
2005,0.524,7.731,Low
2006,0.533,7.8,Low
2007,0.54,7.874,Low
2008,0.545,7.901,Low
2009,0.549,7.975,Low
2010,0.557,8.049,Medium
2011,0.569,8.101,Medium
2012,0.576,8.15,Medium
2013,0.579,8.154,Medium
2014,0.586,8.17,Medium
2015,0.59,8.19,Medium
2016,0.598,8.205,Medium
2017,0.605,8.262,Medium
2018,0.605,8.307,Medium
2019,0.609,8.331,Medium
2020,0.608,8.262,Medium
2021,0.603,8.33,Medium
2022,0.615,8.387,Medium
1990,0.38,7.154,Low
1991,0.382,7.143,Low
1992,0.387,7.174,Low
1993,0.391,7.183,Low
1994,0.396,7.21,Low
1995,0.402,7.245,Low
1996,0.408,7.28,Low
1997,0.413,7.283,Low
1998,0.418,7.305,Low
1999,0.425,7.352,Low
2000,0.429,7.364,Low
2001,0.432,7.39,Low
2002,0.437,7.406,Low
2003,0.448,7.457,Low
2004,0.455,7.509,Low
2005,0.463,7.562,Low
2006,0.47,7.617,Low
2007,0.481,7.654,Low
2008,0.489,7.647,Low
2009,0.495,7.683,Low
2010,0.506,7.72,Low
2011,0.519,7.736,Low
2012,0.527,7.749,Low
2013,0.533,7.786,Low
2014,0.543,7.833,Low
2015,0.551,7.885,Medium
2016,0.561,7.931,Medium
2017,0.567,8.035,Medium
2018,0.567,8.127,Medium
2019,0.571,8.198,Medium
2020,0.57,8.13,Medium
2021,0.566,8.197,Medium
2022,0.577,8.253,Medium
1990,0.636,8.328,Medium
1991,0.639,8.314,Medium
1992,0.646,8.35,Medium
1993,0.64,8.375,Medium
1994,0.635,8.421,Medium
1995,0.632,8.477,Medium
1996,0.631,8.533,Medium
1997,0.628,8.551,Medium
1998,0.626,8.592,Medium
1999,0.627,8.662,Medium
2000,0.628,8.656,Medium
2001,0.629,8.667,Medium
2002,0.632,8.667,Medium
2003,0.643,8.706,Medium
2004,0.649,8.748,Medium
2005,0.655,8.79,Medium
2006,0.661,8.833,Medium
2007,0.656,8.861,Medium
2008,0.65,8.836,Medium
2009,0.642,8.863,Medium
2010,0.639,8.89,Medium
2011,0.641,8.893,Medium
2012,0.638,8.892,Medium
2013,0.666,9.064,Medium
2014,0.697,9.248,Medium
2015,0.725,9.437,High
2016,0.755,9.62,High
2017,0.756,9.62,High
2018,0.749,9.607,High
2019,0.745,9.569,High
2020,0.745,9.489,High
2021,0.738,9.567,High
2022,0.751,9.633,High
1990,0.563,7.597,Medium
1991,0.566,7.585,Medium
1992,0.571,7.618,Medium
1993,0.566,7.641,Medium
1994,0.562,7.682,Medium
1995,0.559,7.734,Medium
1996,0.557,7.784,Medium
1997,0.554,7.802,Medium
1998,0.552,7.839,Medium
1999,0.552,7.902,Medium
2000,0.553,7.897,Medium
2001,0.554,7.907,Medium
2002,0.557,7.907,Medium
2003,0.567,7.943,Medium
2004,0.573,7.981,Medium
2005,0.578,8.019,Medium
2006,0.584,8.058,Medium
2007,0.58,8.084,Medium
2008,0.573,8.061,Medium
2009,0.566,8.086,Medium
2010,0.563,8.111,Medium
2011,0.565,8.113,Medium
2012,0.562,8.113,Medium
2013,0.568,8.168,Medium
2014,0.578,8.235,Medium
2015,0.586,8.307,Medium
2016,0.597,8.373,Medium
2017,0.607,8.474,Medium
2018,0.611,8.563,Medium
2019,0.618,8.63,Medium
2020,0.618,8.558,Medium
2021,0.613,8.628,Medium
2022,0.625,8.688,Medium
1990,0.672,8.284,Medium
1991,0.676,8.27,Medium
1992,0.682,8.306,Medium
1993,0.68,8.331,Medium
1994,0.676,8.377,Medium
1995,0.673,8.432,Medium
1996,0.672,8.488,Medium
1997,0.67,8.506,Medium
1998,0.669,8.547,Medium
1999,0.67,8.616,Medium
2000,0.672,8.611,Medium
2001,0.673,8.621,Medium
2002,0.676,8.621,Medium
2003,0.687,8.661,Medium
2004,0.693,8.702,Medium
2005,0.699,8.743,Medium
2006,0.706,8.786,High
2007,0.701,8.814,High
2008,0.695,8.79,Medium
2009,0.687,8.816,Medium
2010,0.685,8.844,Medium
2011,0.687,8.846,Medium
2012,0.684,8.846,Medium
2013,0.673,8.791,Medium
2014,0.665,8.748,Medium
