State,HDI,log_GNI_pc,HDI_pred,residual_HDI,WPR,Urban_MPCE,Rural_MPCE
Andaman and Nicobar Islands,0.706,9.334,0.7100491348862765,-0.004049135,43.9,10268,7332
Andhra Pradesh,0.642,9.027,0.6741050314654866,-0.032105031,45.4,6877,4996
Arunachal Pradesh,0.683,9.064,0.6784370569591975,0.004562943,45.3,8649,5300
Assam,0.615,8.387,0.5991726986012994,0.015827301,28.2,6210,3546
Bihar,0.577,8.253,0.5834837414078602,-0.006483741,27.1,4819,3454
Chandigarth,0.751,9.633,0.745056584,0.005943416,36.1,12577,7467
Chhattisgarh,0.625,8.688,0.6344143114014875,-0.009414311,50.1,4557,2575
Dadra and Nagar Haveli,0.624,8.718,0.6379267645044963,-0.013926765,46.8,6306,4229
Daman and Diu,0.674,9.125,0.6855790449353154,-0.011579045,46.8,6306,4229
Goa,0.76,9.643,0.7462274018472671,0.013772598152732907,36.8,8761,7388
Gujarat,0.646,9.092,0.6817153465220058,-0.035715347,44.9,6630,3820
Haryana,0.696,9.381,0.7155519780809904,-0.019551978,33.5,7948,4912
Himachal Pradesh,0.715,9.355,0.7125078520583827,0.002492148,52.3,8083,5573
Jammu and Kashmir,0.72,9.27,0.7025559015998578,0.017444098,33.6,6200,4357
Jharkhand,0.6,8.346,0.5943723460271874,0.005627654,31.9,4946,2796
Karnataka,0.673,9.112,0.6840569819240117,-0.011056982,42.9,7781,4578
Kerala,0.758,9.4,0.7177765317128959,0.040223468,35.8,7102,5960
Lakshadweep,0.719,9.413,0.7192985947241998,-0.000298595,24.3,5511,5979
Madhya Pradesh,0.611,8.629,0.6275064869655702,-0.016506487,38.5,5011,3158
Maharashtra,0.695,9.132,0.6863986173260174,0.008601383,44.5,6683,4076
Manipur,0.683,8.671,0.6324239213097824,0.050576079,35.5,4902,4370
Meghalaya,0.65,8.737,0.6401513181364018,0.009848682,41,6450,3530
Mizoram,0.709,9.327,0.7092295624955746,-0.000229562,40.7,7664,5243
Nagaland,0.679,8.888,0.657830665,0.021169334578454047,42.7,7159,4457
New Delhi,0.734,9.518,0.7315921805847305,0.002407819,34.6,8250,6595
Orissa,0.61,8.544,0.6175545365070454,-0.007554537,36.9,5223,2996
Puducherry,0.741,9.456,0.7243331108385123,0.016666889,38.2,7741,6627
Punjab,0.698,9.489,0.7281968092518221,-0.030196809,38.7,6577,5363
Rajasthan,0.652,9.027,0.6741050314654866,-0.022105031,39.4,5970,4348
Sikkim,0.712,9.183,0.6923697876011323,0.019630212,59.5,12125,7787
Tamil Nadu,0.692,9.102,0.6828861642230087,0.009113836,41.9,7742,5457
Telangana,0.66,9.077,0.6799591199705014,-0.01995912,43.6,8251,4959
Tripura,0.624,8.538,0.6168520458864436,0.007147954,43.2,7473,5301
Uttar Pradesh,0.609,8.571,0.6207157442997532,-0.011715744,32.2,5104,3277
Uttaranchal,0.681,9.148,0.6882719256476221,-0.007271926,34.5,7034,4721
West Bengal,0.635,8.619,0.6263356692645673,0.008664331,39.4,5426,3407
