Year,Indicator,Value,Scenario
1990,HDI,0.446,Observed
1990,Life_expectancy,58.618,Observed
1990,Expected_years_schooling,8.20444394,Observed
1990,Mean_years_schooling,2.780574365,Observed
1990,GNI_per_capita,2167.222109,Observed
1991,HDI,0.448,Observed
1991,Life_expectancy,59.032,Observed
1991,Expected_years_schooling,8.216523603,Observed
1991,Mean_years_schooling,2.88390652,Observed
1991,GNI_per_capita,2143.711946,Observed
1992,HDI,0.453,Observed
1992,Life_expectancy,59.445,Observed
1992,Expected_years_schooling,8.228621051,Observed
1992,Mean_years_schooling,2.987238675,Observed
1992,GNI_per_capita,2215.913758,Observed
1993,HDI,0.458,Observed
1993,Life_expectancy,59.823,Observed
1993,Expected_years_schooling,8.240736311,Observed
1993,Mean_years_schooling,3.090570831,Observed
1993,GNI_per_capita,2277.498432,Observed
1994,HDI,0.463,Observed
1994,Life_expectancy,60.237,Observed
1994,Expected_years_schooling,8.252869409,Observed
1994,Mean_years_schooling,3.193902986,Observed
1994,GNI_per_capita,2381.704988,Observed
1995,HDI,0.469,Observed
1995,Life_expectancy,60.63,Observed
1995,Expected_years_schooling,8.26502037,Observed
1995,Mean_years_schooling,3.297235142,Observed
1995,GNI_per_capita,2511.581876,Observed
1996,HDI,0.476,Observed
1996,Life_expectancy,61.027,Observed
1996,Expected_years_schooling,8.266550064,Observed
1996,Mean_years_schooling,3.466324123,Observed
1996,GNI_per_capita,2651.649036,Observed
1997,HDI,0.482,Observed
1997,Life_expectancy,61.439,Observed
1997,Expected_years_schooling,8.289759636,Observed
1997,Mean_years_schooling,3.635413105,Observed
1997,GNI_per_capita,2711.415799,Observed
1998,HDI,0.488,Observed
1998,Life_expectancy,61.852,Observed
1998,Expected_years_schooling,8.301849683,Observed
1998,Mean_years_schooling,3.804502087,Observed
1998,GNI_per_capita,2825.255524,Observed
1999,HDI,0.496,Observed
1999,Life_expectancy,62.284,Observed
1999,Expected_years_schooling,8.31393973,Observed
1999,Mean_years_schooling,3.973591068,Observed
1999,GNI_per_capita,3018.348782,Observed
2000,HDI,0.501,Observed
2000,Life_expectancy,62.749,Observed
2000,Expected_years_schooling,8.326029778,Observed
2000,Mean_years_schooling,4.14268005,Observed
2000,GNI_per_capita,3069.545308,Observed
2001,HDI,0.511,Observed
2001,Life_expectancy,63.158,Observed
2001,Expected_years_schooling,8.807609558,Observed
2001,Mean_years_schooling,4.219709475,Observed
2001,GNI_per_capita,3164.162422,Observed
