Year,Indicator,Value,Scenario
1990,HDI,0.446,Observed
1991,HDI,0.448,Observed
1992,HDI,0.453,Observed
1993,HDI,0.458,Observed
1994,HDI,0.463,Observed
1995,HDI,0.469,Observed
1996,HDI,0.476,Observed
1997,HDI,0.482,Observed
1998,HDI,0.488,Observed
1999,HDI,0.496,Observed
2000,HDI,0.501,Observed
2001,HDI,0.511,Observed
2002,HDI,0.516,Observed
2003,HDI,0.529,Observed
2004,HDI,0.538,Observed
2005,HDI,0.547,Observed
2006,HDI,0.557,Observed
2007,HDI,0.566,Observed
2008,HDI,0.574,Observed
2009,HDI,0.579,Observed
2010,HDI,0.59,Observed
2011,HDI,0.603,Observed
2012,HDI,0.609,Observed
2013,HDI,0.615,Observed
2014,HDI,0.625,Observed
2015,HDI,0.633,Observed
2016,HDI,0.644,Observed
2017,HDI,0.649,Observed
2018,HDI,0.648,Observed
2019,HDI,0.651,Observed
2020,HDI,0.652,Observed
2021,HDI,0.647,Observed
2022,HDI,0.676,Observed
2023,HDI,0.685,Observed
1990,Life_expectancy,58.618,Observed
1991,Life_expectancy,59.032,Observed
1992,Life_expectancy,59.445,Observed
1993,Life_expectancy,59.823,Observed
1994,Life_expectancy,60.237,Observed
1995,Life_expectancy,60.63,Observed
1996,Life_expectancy,61.027,Observed
1997,Life_expectancy,61.439,Observed
1998,Life_expectancy,61.852,Observed
1999,Life_expectancy,62.284,Observed
2000,Life_expectancy,62.749,Observed
2001,Life_expectancy,63.158,Observed
2002,Life_expectancy,63.649,Observed
2003,Life_expectancy,64.086,Observed
2004,Life_expectancy,64.484,Observed
2005,Life_expectancy,64.939,Observed
2006,Life_expectancy,65.373,Observed
2007,Life_expectancy,65.803,Observed
2008,Life_expectancy,66.247,Observed
2009,Life_expectancy,66.7,Observed
2010,Life_expectancy,67.162,Observed
2011,Life_expectancy,67.623,Observed
2012,Life_expectancy,68.076,Observed
2013,Life_expectancy,68.499,Observed
2014,Life_expectancy,68.932,Observed
2015,Life_expectancy,69.326,Observed
2016,Life_expectancy,69.709,Observed
2017,Life_expectancy,70.068,Observed
2018,Life_expectancy,70.415,Observed
2019,Life_expectancy,70.746,Observed
2020,Life_expectancy,70.156,Observed
2021,Life_expectancy,67.282,Observed
2022,Life_expectancy,71.698,Observed
2023,Life_expectancy,72.003,Observed
1990,Expected_years_schooling,8.20444394,Observed
1991,Expected_years_schooling,8.216523603,Observed
1992,Expected_years_schooling,8.228621051,Observed
1993,Expected_years_schooling,8.240736311,Observed
1994,Expected_years_schooling,8.252869409,Observed
1995,Expected_years_schooling,8.26502037,Observed
1996,Expected_years_schooling,8.266550064,Observed
1997,Expected_years_schooling,8.289759636,Observed
1998,Expected_years_schooling,8.301849683,Observed
1999,Expected_years_schooling,8.31393973,Observed
2000,Expected_years_schooling,8.326029778,Observed
2001,Expected_years_schooling,8.807609558,Observed
2002,Expected_years_schooling,8.872280121,Observed
2003,Expected_years_schooling,9.489009857,Observed
2004,Expected_years_schooling,9.759057283,Observed
2005,Expected_years_schooling,10.02910471,Observed
2006,Expected_years_schooling,10.29915214,Observed
2007,Expected_years_schooling,10.56919956,Observed
2008,Expected_years_schooling,10.86855984,Observed
2009,Expected_years_schooling,10.78787994,Observed
2010,Expected_years_schooling,11.10916996,Observed
2011,Expected_years_schooling,11.69287014,Observed
2012,Expected_years_schooling,11.76546955,Observed
2013,Expected_years_schooling,11.80904961,Observed
2014,Expected_years_schooling,12.16592026,Observed
2015,Expected_years_schooling,12.26624012,Observed
2016,Expected_years_schooling,12.67975998,Observed
2017,Expected_years_schooling,12.50761032,Observed
2018,Expected_years_schooling,11.81653976,Observed
2019,Expected_years_schooling,11.75397968,Observed
2020,Expected_years_schooling,12.1291399,Observed
2021,Expected_years_schooling,12.40237045,Observed
2022,Expected_years_schooling,12.95646,Observed
2023,Expected_years_schooling,12.95454025,Observed
1990,Mean_years_schooling,2.780574365,Observed
1991,Mean_years_schooling,2.88390652,Observed
1992,Mean_years_schooling,2.987238675,Observed
1993,Mean_years_schooling,3.090570831,Observed
1994,Mean_years_schooling,3.193902986,Observed
1995,Mean_years_schooling,3.297235142,Observed
1996,Mean_years_schooling,3.466324123,Observed
1997,Mean_years_schooling,3.635413105,Observed
1998,Mean_years_schooling,3.804502087,Observed
1999,Mean_years_schooling,3.973591068,Observed
2000,Mean_years_schooling,4.14268005,Observed
2001,Mean_years_schooling,4.219709475,Observed
2002,Mean_years_schooling,4.2967389,Observed
2003,Mean_years_schooling,4.373768325,Observed
2004,Mean_years_schooling,4.45079775,Observed
2005,Mean_years_schooling,4.527827175,Observed
2006,Mean_years_schooling,4.634916863,Observed
2007,Mean_years_schooling,4.742006551,Observed
2008,Mean_years_schooling,4.84909624,Observed
2009,Mean_years_schooling,4.956185928,Observed
