State,residual_HDI,Per_Capita_Exp
Andhra Pradesh,-0.032105031,16449.40989
Arunachal Pradesh,0.004562943,40275.27723
Assam,0.015827301,11626.6016
Bihar,-0.006483741,8212.896988
Chhattisgarh,-0.009414311,13619.23168
Goa,0.013772598,43983.96408
Gujarat,-0.035715347,11846.59254
Haryana,-0.019551978,16537.02133
Himachal Pradesh,0.002492148,23647.01109
Jammu and Kashmir,0.017444098,19167.2136
Jharkhand,0.005627654,8808.08921
Karnataka,-0.011056982,16599.44648
Kerala,0.040223468,17076.36169
Madhya Pradesh,-0.016506487,12370.04827
Maharashtra,0.008601383,13195.87422
Manipur,0.050576079,22384.20221
Meghalaya,0.009848682,22284.97567
Mizoram,-0.000229562,34814.96711
Nagaland,0.021169335,22855.83942
New Delhi,0.002407819,15808.17656
Orissa,-0.007554537,14615.34926
Puducherry,0.016666889,19410.30534
Punjab,-0.030196809,9959.32628
Rajasthan,-0.022105031,14331.71882
Sikkim,0.019630212,46883.30871
Tamil Nadu,0.009113836,15047.74744
Telangana,-0.01995912,18967.05103
Tripura,0.007147954,20004.66716
Uttar Pradesh,-0.011715744,7323.086784
Uttaranchal,-0.007271926,19120.44916
West Bengal,0.008664331,12790.59363
